english	characters	pinyin
for public establishments such as store, restaurant, movie theater etc.	家	jiā
store, shop	（商）店	shāngdiàn
both... and...	又...又...	yòu...yòu...
to sell	卖	mài
edibles, food	吃的	chīde
household products	用的	yòngde
clothes	衣服	yīfu
to buy, to purchase	买	mǎi
household and personal care products	日用品	rìyòngpǐn
daily use	日用	rìyòng
products, thing (in compound words)	品	pǐn
laundry detergent	洗衣粉	xǐyīfěn
powder	粉	fěn
shampoo	洗发水	xǐfàshuǐ
hair (on the head)	（头)发	tóufa
tooth brush	牙刷	yáshuā
teeth, tooth	牙	yá
tooth paste	牙膏	yágāo
gel, paste	膏	gāo
and so on, etc., used when making a list	什么的	shénmede
to look for, to try to find	找	zhǎo
here	这儿	zhèr
to practice	练习	liànxí
first...then...	先...再...	xiān...zài...
thing	东西	dōngxi
type, kind, sort	种	zhǒng
shirt, blouse	衬衫	chènshān
number, size (when used with clothes)	号	hào
color	颜色	yánsè
red	红	hóng
blue	蓝	lán
black	黑	hēi
to try, to try on, to try out	试	shì
for upper garment	件	jiàn
to wear, to put on	穿	chuān
suitable, fit	合适	héshì
to pair with (as in two pieces of clothing)	配	pèi
pants	裤子	kùzi
skirt	裙子	qúnzi
how much, how many	多少	duōshǎo
money	钱	qián
colloquial equivalent of yuan, Chinese monetary unit	块	kuài
colloquial equivalent of jiao, 1/10 of the value of yuan	毛	máo
expensive	贵	guì
inexpensive, cheap	便宜	piányi
cash	现金	xiànjīn
credit card	信用卡	xìnyòngkǎ
trustworthiness, credibility	信用	xìnyòng
card	卡	kǎ
to swipe (a credit card), to brush	刷(卡)	shuākǎ
